song,artist,entry_date,exit_date,total_days,peak_position,avg_position,time_to_peak,avg_popularity,album_type,is_explicit,duration_min,total_tracks,stage,duration_bin
Mi Lova,Bad Gyal & Myke Towers,2024-07-09,2024-08-18,41,14,36.71,0,76.59,single,True,3.67,1,Decline,3-4 min
Mi Luz (ft. Rels B),Rvfv,2024-10-23,2025-10-18,172,32,45.4,353,77.26,album,False,2.8,15,Mature,2-3 min
Mi Nena Remix,Maikel Delacalle & Quevedo,2024-05-18,2024-06-10,24,26,31.75,1,81.17,single,False,3.67,1,Decline,3-4 min
Mil Mujeres,Rauw Alejandro,2025-11-17,2025-11-17,1,36,36.0,0,65.0,album,True,2.82,18,New Entry,2-3 min
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap & Milo j,2024-10-07,2025-02-10,61,1,29.39,0,85.23,single,False,3.17,1,Peak,3-4 min
Mirame,Blessd & Ovy On The Drums,2025-07-15,2025-07-30,16,13,28.88,4,86.5,single,True,2.62,1,Decline,2-3 min
Mis Tías,Juanjo Bona,2025-07-21,2025-07-23,2,44,45.5,0,60.0,single,False,2.64,1,New Entry,2-3 min
My Love,De La Ghetto & Quevedo,2024-06-04,2024-07-01,27,36,41.7,11,73.78,single,False,3.57,1,Decline,3-4 min
NADIE SABE,Bad Bunny,2024-10-14,2024-10-28,15,3,26.67,0,81.4,album,True,6.32,22,Peak,>5 min
NANA DEL HILO ROJO,SAIKO,2025-04-28,2025-05-02,5,16,27.0,0,65.4,album,False,2.73,16,New Entry,2-3 min
NO ME QUIERO CASAR,Bad Bunny,2024-10-14,2024-10-19,6,22,32.33,0,67.0,album,True,3.76,22,New Entry,3-4 min
NO PIENSO LLAMAR,Soge Culebra & Quevedo & GARABATTO,2024-10-07,2025-03-02,147,7,23.8,77,67.88,single,False,3.31,1,Peak,3-4 min
NOEMÚ,Quevedo,2025-11-24,2025-11-27,4,15,22.5,0,64.25,album,False,3.45,18,New Entry,3-4 min
Narcotics (with Bryant Myers),Dei V & Bryant Myers,2024-10-04,2025-06-11,188,15,25.55,85,82.7,single,True,2.9,1,Mature,2-3 min
"Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap & Natanael Cano,2025-04-06,2025-04-13,8,32,39.62,1,78.12,single,True,2.6,1,Decline,2-3 min
New Woman (feat. ROSALÍA),LISA & ROSALÍA,2025-08-17,2025-08-30,14,15,32.0,0,80.86,single,False,3.0,1,Decline,2-3 min
Ni Me Conozco,Rauw Alejandro,2025-11-17,2025-11-22,6,26,37.5,0,71.33,album,True,3.83,18,New Entry,3-4 min
Niña Bonita,Feid & Sean Paul,2024-05-18,2024-08-08,83,13,34.45,1,89.34,single,False,3.13,1,Mature,3-4 min
No Digas Na,Feid & Yandel,2025-04-17,2025-04-20,4,48,48.75,1,72.5,single,False,3.47,5,New Entry,3-4 min
No Estuviste En Lo Malo,Morad,2024-05-18,2024-06-23,11,46,48.36,13,72.0,album,False,4.13,19,Decline,4-5 min
No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,2024-10-07,2025-01-31,112,12,38.59,0,76.11,single,False,4.47,1,Mature,4-5 min
No Has Cambiado,Baby Rasta & Noriel & Hades66,2025-10-13,2025-11-27,24,11,32.12,2,69.58,single,True,4.61,1,Decline,4-5 min
No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,2024-12-20,2025-04-10,110,4,11.85,21,84.75,single,False,4.2,1,Peak,4-5 min
No Te Quieren Conmigo - Remix,Gaby Music & Anuel AA & Luar La L,2025-04-07,2025-04-27,21,17,34.86,0,73.29,single,False,5.47,1,Decline,>5 min
No soy Eterno,Bizarrap & Milo j,2024-10-07,2024-10-13,7,27,35.0,3,75.57,single,False,2.52,5,New Entry,2-3 min
No_Se_Ve.mp3,Emilia,2024-11-04,2025-02-09,75,32,43.76,1,72.84,album,False,3.39,13,Mature,3-4 min
No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,2024-06-08,2024-11-03,134,13,22.27,78,86.9,single,True,3.39,1,Growth,3-4 min
Nochentera,Vicco,2024-05-18,2025-01-09,156,9,20.78,9,80.55,single,False,3.37,1,Peak,3-4 min
Nueva Era,Duki,2025-11-03,2025-11-27,25,3,10.32,5,78.76,album,True,3.63,15,Peak,3-4 min
NÚMERO TELEFÓNICO,SAIKO,2025-04-28,2025-05-09,12,14,31.67,0,68.92,album,True,3.17,16,Decline,3-4 min
OA,Anuel AA & Quevedo & Maluma,2024-10-16,2025-04-27,192,3,21.06,26,85.09,single,True,3.92,1,Peak,3-4 min
OBVIO,Myke Towers,2024-11-25,2024-11-25,1,25,25.0,0,0.0,album,True,2.71,23,New Entry,2-3 min
OTRA NOCHE,Myke Towers & Darell,2025-08-20,2025-08-23,4,36,39.25,3,66.5,single,True,3.74,1,New Entry,3-4 min
OTRA NOCHE (feat. Darell),Myke Towers,2025-08-24,2025-11-16,85,11,22.98,14,68.92,album,True,3.74,20,Growth,3-4 min
OTRA OPORTUNIDAD,Myke Towers,2025-08-24,2025-08-24,1,25,25.0,0,0.0,album,True,2.82,20,New Entry,2-3 min
OTRO ROUND,Myke Towers,2024-11-25,2024-11-25,1,50,50.0,0,0.0,album,True,2.24,23,New Entry,2-3 min
Ohnana,Kapo,2025-07-04,2025-11-27,145,2,8.89,28,85.48,single,False,2.61,1,Peak,2-3 min
Omega (feat. Ralphie Choo),ROSALÍA,2025-09-27,2025-10-10,14,3,25.29,0,70.5,single,False,2.82,1,Peak,2-3 min
Orgullosa De Papá,Cano,2025-11-01,2025-11-23,6,45,47.17,15,55.0,album,False,2.9,10,New Entry,2-3 min
Oye BB,Omar Montes & Nicky Jam,2024-11-11,2024-11-11,1,43,43.0,0,25.0,single,False,2.46,1,New Entry,2-3 min
PA' LA VUELTA,Eladio Carrion & Morad,2024-08-06,2024-08-06,1,49,49.0,0,62.0,single,True,3.73,1,New Entry,3-4 min
